Transaction Name,Organization Url,Organization Name,Funding Type,Money Raised,Announced Date,Funding Stage,Pre-Money Valuation,Equity Only Funding,Organization Description,Organization Industries,Organization Location,Organization Location 1,Organization Website,Organization Revenue Range,Total Funding Amount,Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Investor Names 1,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Haseel,https://www.crunchbase.com/organization/haseel,Haseel,Series A,"$5,567,000 ",25-Mar-22,Early Stage Venture,�,Yes,Haseel  is a fresh fruits and vegetables ecommerce platform .,E-Commerce,Riyadh,Ar Riyad,http://www.haseelapp.com/,�,"$7,701,045 ",Early Stage Venture,5,Vision Ventures,Arzan Venture Capital,Riyad TAQNIA Fund (RTF),4,1,"9,749"
Series B - Gathern,https://www.crunchbase.com/organization/gathern,Gathern,Series B,�,6-Apr-22,Early Stage Venture,�,Yes,"Gathern is a booking platform of private villas, chalets, rest houses, camps, resorts, farms and other places suitable for gatherings.",Customer Service,Riyadh,Ar Riyad,https://gathern.co/,$1M to $10M,"$11,090,435 ",Early Stage Venture,6,Shurafa Real Estate Development,Al Ajlan Riviera,Al Majdia Residence,5,1,"10,436"
Seed Round - Mala'a Technologies,https://www.crunchbase.com/organization/mala-a-technologies,Mala'a Technologies,Seed,"SAR6,400,000",16-Mar-22,Seed,�,Yes,Mala'a Technologies is a finance management app that helps manage finances and provides recommendations on finances.,Financial Services,Riyadh,Ar Riyad,https://www.malaa.tech/,�,"SAR6,400,000",Seed,1,,Impact46,Khwarizmi Ventures,4,3,"11,657"
Seed Round - Taffi,https://www.crunchbase.com/organization/taffi-inc,Taffi,Seed,"$2,000,000 ",3-Feb-22,Seed,�,Yes,Taffi offers on demand personal styling & shopping services.,E-Commerce,Jeddah,Makkah,https://www.taffi.co/,�,"$2,000,000 ",Seed,2,Impact46,Abhishek Sharma,Impact46,6,1,"11,755"
Seed Round - Gathern,https://www.crunchbase.com/organization/gathern,Gathern,Seed,"$620,000 ",1-Nov-19,Seed,�,Yes,"Gathern is a booking platform of private villas, chalets, rest houses, camps, resorts, farms and other places suitable for gatherings.",Customer Service,Riyadh,Ar Riyad,https://gathern.co/,$1M to $10M,"$11,090,435 ",Early Stage Venture,6,,500 Startups,Misk 500 MENA Accelerator,3,�,"12,296"
Venture Round - Dailymealz,https://www.crunchbase.com/organization/dailymealz,Dailymealz,Venture - Series Unknown,"$3,000,000 ",29-Mar-22,�,�,Yes,"Dailymealz is a healthy food subscription app, delivers fresh, healthy, and tasty meals.",Food Delivery,Riyadh,Ar Riyad,http://dailymealz.com/,�,"$5,150,000 ",�,3,Saudi Airlines Catering,HALA Ventures,MLM Investment company,5,�,"12,368"
Pre Seed Round - iStoria,https://www.crunchbase.com/organization/istoria,iStoria,Pre-Seed,�,26-May-22,Seed,�,Yes,"iStoria, a specialized EdTech app that helps people improve their English language through reading interesting stories",E-Learning,Riyadh,Ar Riyad,https://istoria.app/,�,�,Seed,1,Nama Ventures,Nama Ventures,,1,1,"12,876"
Pre Seed Round - Spoilz,https://www.crunchbase.com/organization/spoilz,Spoilz,Pre-Seed,"SAR2,600,000",13-Apr-22,Seed,�,Yes,Spoilz is a gaming platform.,,Riyadh,Ar Riyad,https://www.spoilz.studio/,�,"SAR2,600,000",Seed,1,,,,�,�,"13,034"
Pre Seed Round - EdfaPay,https://www.crunchbase.com/organization/edfapay,EdfaPay,Pre-Seed,"SAR6,000,000",20-Feb-22,Seed,�,Yes,Edfapay is a fintech enterprise that provides smart & efficient payment solutions.,Financial Services,Riyadh,Ar Riyad,https://edfapay.com/,�,"SAR6,000,000",Seed,1,InspireUs,InspireUs,Nuwa Capital,4,1,"13,225"
Seed Round - Lawazem | ?????,https://www.crunchbase.com/organization/lawazem,Lawazem | ?????,Seed,"$1,300,000 ",6-Apr-22,Seed,�,Yes,"LAWAZEM the first B2B marketplace for all business operational purchases, whether it is groceries, stationary, cleaning materials, or else.",B2B,Riyadh,Ar Riyad,https://lawazem.com/,�,"$1,300,000 ",Seed,1,Merak Capital,Merak Capital,Merced Capital,3,1,"13,436"
Convertible Note - Grintafy Technologies,https://www.crunchbase.com/organization/grintafy-technologies,Grintafy Technologies,Convertible Note,"SAR8,000,000",16-Feb-22,�,�,No,Grintafy Technologies is operates a talent discovery platform for amateur footballers.,Casual Games,Jeddah,Makkah,https://grintafy.com/,Less than $1M,"$3,381,997 ",�,3,,Areen Holding Group,Rashed Abdul Rahman AlRashed & Sons,3,�,"13,467"
Seed Round - Kaya,https://www.crunchbase.com/organization/kaya-92a5,Kaya,Seed,"$2,600,000 ",3-Apr-22,Seed,�,Yes,Kaya is an e-commerce and Logistics solutions company specialising in beauty and personal care.,E-Commerce,Riyadh,Ar Riyad,,�,"$2,600,000 ",Seed,1,Revival Studio,Al-Dowayan Investment Company,Al-Sulaimaniya Investment Group,3,�,"13,635"
Funding Round - Yelo Drive,https://www.crunchbase.com/organization/yelo-drive,Yelo Drive,Funding Round,�,10-Feb-22,�,�,Yes,YeloDrive is a Car rental platform.,Car Sharing,Riyadh,Ar Riyad,https://www.iyelo.com/,�,�,�,1,Majd Investment,Majd Investment,,1,1,"13,895"
Series A - Mozn,https://www.crunchbase.com/organization/mozn,Mozn,Series A,"$10,000,000 ",3-Feb-22,Early Stage Venture,�,Yes,"Mozn is the market leader in enterprise AI technologies that empower organizations, with a focus on Arabic NLU and Finance intelligence.",Artificial Intelligence,Riyadh,Ar Riyad,https://mozn.ai/,$10M to $50M,"$10,000,000 ",Early Stage Venture,1,Raed Ventures,Global Founders Capital,Raed Ventures,5,1,"13,964"
Seed Round - BARQ,https://www.crunchbase.com/organization/barq,BARQ,Seed,"$4,000,000 ",7-Feb-22,Seed,�,Yes,BARQ is Delivery as a Service (DaaS) startup that enables bullet delivery for any business.,Logistics,Ar Riyadh,Ar Riyad,https://barqapp.com/,�,"$4,000,000 ",Seed,1,Oryx Fund,Oryx Fund,otf Jasoor Ventures,4,�,"14,201"
Series C - Fordeal,https://www.crunchbase.com/organization/fordeal,Fordeal,Series C,�,9-Aug-18,Late Stage Venture,�,Yes,Fordeal is an online cross-border lifestyle products shopping platform.,E-Commerce,Riyadh,Ar Riyad,https://www.fordeal.com/,�,"$20,000,000 ",Late Stage Venture,2,Hillhouse Capital Group,Hillhouse Capital Group,K2VC,5,�,"14,417"
Corporate Round - Tanmiah Food,https://www.crunchbase.com/organization/tanmiah-food,Tanmiah Food,Corporate Round,�,6-Jul-22,�,�,Yes,Tanmiah Food is a leading manufacturing and distribution company of food and agricultural products.,Agriculture,Riyadh,Ar Riyad,https://tanmiah.com/,�,�,�,1,Tyson Foods,Tyson Foods,,1,�,"14,868"
Seed Round - Soum,https://www.crunchbase.com/organization/soum-1a2d,Soum,Seed,"$4,000,000 ",14-Mar-22,Seed,�,Yes,Soum is a C2C marketplace.,Marketplace,Riyadh,Ar Riyad,,�,"$4,000,000 ",Seed,1,Mazen Al Jubeir,Ammar AlKhudairy,Khwarizmi Ventures,4,1,"14,966"
Seed Round - Dawul,https://www.crunchbase.com/organization/dawl,Dawul,Seed,"$5,000,000 ",9-Jan-22,Seed,�,Yes,Dawul is a platform that allows investors to share details of the financial status of their portfolios with other investors.,Financial Services,Riyadh,Ar Riyad,https://dawul.net/,�,"$5,000,000 ",Seed,1,Raed Ventures,Derayah Venture Capital,Impact46,5,2,"15,120"
Series B - Syarah,https://www.crunchbase.com/organization/syarah-ltd,Syarah,Series B,"$19,000,220 ",2-Aug-21,Early Stage Venture,�,Yes,Syarah is an online cars marketplaces.,Auto Insurance,Riyadh,Ar Riyad,https://www.syarah.com/,�,"$23,309,220 ",Early Stage Venture,5,Impact46,Budget Saudi,Elm,5,4,"15,343"
Series B - Unifonic,https://www.crunchbase.com/organization/unifonic,Unifonic,Series B,"$125,000,000 ",15-Sep-21,Early Stage Venture,�,Yes,Unifonic is a customer engagement platform that unifies communication channels to enable organizations to delight customers.,Cloud Computing,Riyadh,Ar Riyad,http://www.unifonic.com/,�,"$146,000,000 ",Early Stage Venture,2,Sanabil,Highgoal Capital,Riyad Bank,6,2,"15,692"
Venture Round - Fathom,https://www.crunchbase.com/organization/fathom-solutions-8746,Fathom,Venture - Series Unknown,�,12-Oct-21,�,�,Yes,Fathom is a computer software that provides an Industrial IoT platform and AI application.,Artificial Intelligence,Dhahran,Ash Sharqiyah,https://fathom.io/,�,�,�,1,Saudi Aramco Entrepreneurship Ventures,Saudi Aramco Entrepreneurship Ventures,,1,1,"15,728"
Seed Round - Deal App,https://www.crunchbase.com/organization/deal-app,Deal App,Seed,"SAR8,400,000",2-Feb-22,Seed,�,Yes,Deal App operates as an real estate app.,Real Estate,Dammam,Ash Sharqiyah,https://dealapp.sa/,�,"SAR8,400,000",Seed,1,,Alsulaiman Group,AlThuraya AlOmrania Properties,5,�,"15,766"
Pre Seed Round - Spiders,https://www.crunchbase.com/organization/spiders-47e5,Spiders,Pre-Seed,"$1,400,000 ",28-Mar-22,Seed,�,Yes,Spiders is a Saudi Arabia-based micromobility rentals company.,Electric Vehicle,Jeddah,Makkah,https://spiders.sa/,�,"$1,400,000 ",Seed,1,Watheeq Capital,Watheeq Capital,,1,1,"16,215"
Series C - Fordeal,https://www.crunchbase.com/organization/fordeal,Fordeal,Series C,"$20,000,000 ",15-Jan-19,Late Stage Venture,�,Yes,Fordeal is an online cross-border lifestyle products shopping platform.,E-Commerce,Riyadh,Ar Riyad,https://www.fordeal.com/,�,"$20,000,000 ",Late Stage Venture,2,MSA Capital,MSA Capital,MSA Novo,2,�,"16,555"
Pre Seed Round - Drahim,https://www.crunchbase.com/organization/drahim,Drahim,Pre-Seed,�,10-May-22,Seed,�,Yes,Drahim develops a digital platform on recommended investing plans after analyzing one's financial usage.,Apps,Riyadh,Ar Riyad,http://www.drah.im/,�,�,Seed,1,,500 Startups,Sanabil,2,�,"16,567"
Seed Round - Arib,https://www.crunchbase.com/organization/arib-ad92,Arib,Seed,"$2,300,000 ",22-Mar-22,Seed,�,Yes,Arib is a FinTech and digital broker for personal loans.,Finance,Riyadh,Ar Riyad,https://aribksa.com/,�,"$2,300,000 ",Seed,1,Merak Capital,Merak Capital,,1,1,"16,707"
Seed Round - Kleen,https://www.crunchbase.com/organization/kleen,Kleen,Seed,"SAR7,500,000",21-Jun-22,Seed,�,Yes,Tech Franchise,Franchise,Khobar,Ash Sharqiyah,http://www.kleen.sa/,�,"SAR9,500,000",Seed,2,Plus Venture Capital,Plus Venture Capital,Riyadh Angel Investors,2,1,"17,423"
Seed Round - Qawafel,https://www.crunchbase.com/organization/qawafel,Qawafel,Seed,"$3,000,000 ",13-Mar-22,Seed,�,Yes,Qawafel is an online marketplace that offers food products.,B2B,Riyadh,Ar Riyad,https://qawafel.sa/,Less than $1M,"$3,000,000 ",Seed,1,Alsayer Group,Alsayer Group,Khwarizmi Ventures,2,1,"17,502"
Private Equity Round - Master Works,https://www.crunchbase.com/organization/master-works,Master Works,Private Equity,"SAR150,000,000",1-Mar-22,Private Equity,�,Yes,"Master Works offers business intelligence, data management, performance management, data strategy, software and consulting services.",Big Data,Riyadh,Ar Riyad,https://master-works.net/,$10M to $50M,"SAR150,000,000",Private Equity,1,Merak Capital,Merak Capital,,1,1,"18,389"
Seed Round - Qreeb,https://www.crunchbase.com/organization/qreeb,Qreeb,Seed,"SAR1,900,000",11-Nov-21,Seed,�,Yes,Qreeb is a Procurement and Facility Management platform for enterprise professionals.,B2B,Dhahran,Ash Sharqiyah,http://www.qreebs.com/,�,"SAR1,900,000",Seed,1,Saudi Aramco Entrepreneurship Ventures,Saudi Aramco Entrepreneurship Ventures,,1,1,"18,681"
Series A - Forus Financial,https://www.crunchbase.com/organization/forus-e61c,Forus Financial,Series A,�,2-Aug-21,Early Stage Venture,�,Yes,"Marketplace, AI, Lending, Investments, Financing, Artificial Intelligence",Artificial Intelligence,Riyadh,Ar Riyad,http://www.forusinvest.com/,�,�,Early Stage Venture,2,Riyad Bank,Riyad Bank,Yazeed Al-Rajhi and Brothers Holding Company,2,�,"18,782"
Post-IPO Secondary - Kingdom Holding Company,https://www.crunchbase.com/organization/kingdom-holding-company,Kingdom Holding Company,Post-IPO Secondary,"SAR5,680,000,000",22-May-22,�,"SAR27,989,000,000",No,Kingdom Holding Company is one of the world�s premier international investment companies.,Angel Investment,Riyadh,Ar Riyad,http://www.kingdom.com.sa/,$10M to $50M,"SAR5,680,000,000",IPO,1,Saudi Arabia's Public Investment Fund,Saudi Arabia's Public Investment Fund,,1,1,"19,226"
Seed Round - Sanad Cash,https://www.crunchbase.com/organization/sanad-cash,Sanad Cash,Seed,"$1,600,000 ",26-Jan-22,Seed,�,Yes,Sanad Cash helps employees relieve financial stress by getting them instant access to their salaries between paychecks.,Finance,Riyadh,Ar Riyad,http://www.sanadcash.com/,�,"$1,600,000 ",Seed,2,,Business Innovation Mine (BIM),Derayah Venture Capital,4,�,"19,491"
Series B - Lucidya,https://www.crunchbase.com/organization/lucidya,Lucidya,Series B,"$6,000,000 ",17-Jan-22,Early Stage Venture,�,Yes,Enterprise B2B SaaS company that aims to reshape customer experience in the MENA region leveraging proprietary AI & NLP technologies.,Analytics,Riyadh,Ar Riyad,http://lucidya.com/,�,"$7,250,000 ",Early Stage Venture,2,Rua Growth Fund,500 Startups,Rua Growth Fund,3,�,"20,808"
Seed Round - Quantum Platform,https://www.crunchbase.com/organization/quantum-platform,Quantum Platform,Seed,"$600,000 ",15-Apr-20,Seed,�,Yes,Quantum Platform is a business-to-business product platform for sampling solutions.,Computer Vision,Jeddah,Makkah,https://www.quantums.com.sa/,�,"$2,600,000 ",Seed,2,,500 Startups,Vision Ventures,2,�,"20,930"
Seed Round - Mkhdoom,https://www.crunchbase.com/organization/mkhdoom,Mkhdoom,Seed,"SAR4,000,000",28-Apr-22,Seed,�,Yes,Mkhdoom provides last-mile delivery services to the e-commerce sector.,Delivery Service,Riyadh,Ar Riyad,https://mkhdoom.sa/,�,"SAR4,000,000",Seed,1,Aljabr Holding Company,Aljabr Holding Company,,1,�,"21,123"
Pre Seed Round - Remmsh,https://www.crunchbase.com/organization/remmsh,Remmsh,Pre-Seed,�,29-Apr-22,Seed,�,Yes,Remmsh is a platform specializing in providing users with live promotion codes via WhatsApp.,,Jeddah,Makkah,,�,�,Seed,1,Nama Ventures,Nama Ventures,,1,1,"21,104"
Pre Seed Round - Tamawal,https://www.crunchbase.com/organization/tamawal,Tamawal,Pre-Seed,"$1,100,000 ",7-Feb-22,Seed,�,Yes,Tamawal offers premium and quick loan service for businesses,Finance,Riyadh,Ar Riyad,https://www.tamawal.sa/,�,"$1,100,000 ",Seed,1,MRK,500 Falcons,MRK,2,�,"21,273"
Seed Round - DigiNation,https://www.crunchbase.com/organization/digination-321e,DigiNation,Seed,"$2,400,000 ",24-Nov-21,Seed,�,Yes,DigiNation is a digital business automation company in KSA.,,Riyadh,Ar Riyad,https://diginationmea.com/,�,"$2,400,000 ",Seed,1,,21DAO Ventures,Block Dream Fund,7,�,"21,752"
Pre Seed Round - ORO,https://www.crunchbase.com/organization/oro-0e7a,ORO,Pre-Seed,�,26-Feb-22,Seed,�,Yes,ORO is an automobile maintenance company for businesses residing in Riyadh.,Apps,Riyadh,Ar Riyad,https://oro.sa/,�,�,Seed,1,Nama Ventures,Nama Ventures,,1,1,"23,132"
Pre Seed Round - Nuqtah NFT,https://www.crunchbase.com/organization/nuqtah-nft,Nuqtah NFT,Pre-Seed,�,17-Sep-21,Seed,�,Yes,Saudi Arabia's first NFT powered creative marketplace.,Art,Riyadh,Ar Riyad,https://www.itsnuqtah.com/,�,�,Seed,1,Shorooq Partners,Shorooq Partners,,1,1,"23,705"
Funding Round - Sabbar,https://www.crunchbase.com/organization/sabbar,Sabbar,Funding Round,"$4,100,000 ",13-Jul-21,�,�,Yes,"Sabbar is a niche on-demand staffing platform for gig workers in the retail, hospitality, and entertainment industries in MENA.",Employment,Riyadh,Ar Riyad,https://sabbar.com/,�,"$5,600,000 ",�,2,STV,Derayah Venture Capital,SEEDRA,3,1,"24,515"
Seed Round - Jeel Platform,https://www.crunchbase.com/organization/jeel-app,Jeel Platform,Seed,"$1,200,000 ",11-Jul-21,Seed,�,Yes,Jeel Platform operates as an edutainment digital platform.,Media and Entertainment,Riyadh,Ar Riyad,http://jeelapp.com/,�,"$1,200,000 ",Seed,1,,,,�,�,"24,626"
Seed Round - Lamaa,https://www.crunchbase.com/organization/lamaa,Lamaa,Seed,"$5,500,000 ",1-Dec-21,Seed,�,Yes,Lamaa develops financial technology solutions to small and medium enterprises.,Finance,Riyadh,Ar Riyad,https://lamaa.sa/,�,"$5,500,000 ",Seed,2,Raed Ventures,Raed Ventures,Saudi Aramco Entrepreneurship Ventures,2,2,"25,111"
Seed Round - Tygo,https://www.crunchbase.com/organization/tygo,Tygo,Seed,"SAR6,800,000",31-Mar-22,Seed,�,Yes,Tygo is the telecommunications services and marketing platform.,Telecommunications,Riyadh,Ar Riyad,,�,"SAR6,800,000",Seed,1,Jawla investments,Business Innovation Mine (BIM),Jawla investments,2,�,"25,197"
Pre Seed Round - Darent,https://www.crunchbase.com/organization/darent,Darent,Pre-Seed,"$1,000,000 ",28-Mar-22,Seed,�,Yes,Darent is a daily housing and property management platform.,Information Services,Jeddah,Makkah,https://darent.com/,�,"$1,000,000 ",Seed,1,Watheeq Proptech Venture,Watheeq Proptech Venture,,1,1,"25,619"
Seed Round - RedBox,https://www.crunchbase.com/organization/redbox-1308,RedBox,Seed,"SAR11,500,000",13-Feb-22,Seed,�,Yes,RedBox ships online products to the nearest smart locker for faster delivery and easy access.,E-Commerce,Riyadh,Ar Riyad,https://redboxsa.com/,�,"$9,580,544 ",Seed,4,RAF Investments,RAF Investments,Vision Ventures,2,1,"25,832"
Seed Round - CloudShelf,https://www.crunchbase.com/organization/cloudshelf-5a32,CloudShelf,Seed,�,2-Jun-22,Seed,�,Yes,CloudShelf is a specializing in e-commerce business support services by providing smart and unique logistical solutions.,E-Commerce,Riyadh,Ar Riyad,https://www.cloud-shelf.com/,�,�,Seed,1,SEEDRA,SEEDRA,,1,�,"25,907"
Grant - Mismar,https://www.crunchbase.com/organization/mismar,Mismar,Grant,"SAR375,000",10-Mar-22,�,�,No,"Mismar is a platform that connects car owners with service providers to manage their maintenance, repairs, and spare parts needs.",Automotive,Riyadh,Ar Riyad,https://mismarapp.com/,�,"SAR375,000",�,1,Taqadam,Taqadam,,1,�,"27,570"
Grant - NQOODLET,https://www.crunchbase.com/organization/nqoodlet,NQOODLET,Grant,"SAR375,000",10-Mar-22,�,�,No,"NQOODLET is an electronic platform targeting SMEs to manage their expenses, purchases through the credit cards given to the employees.",FinTech,Riyadh,Ar Riyad,https://nqoodlet.com/,�,"$1,099,956 ",Seed,2,Taqadam,Taqadam,,1,�,"27,522"
Grant - Omniful,https://www.crunchbase.com/organization/omniful,Omniful,Grant,"SAR375,000",10-Mar-22,�,�,No,Omniful offers a SaaS for brick-and-mortar retailers to prepare and ship online orders directly from the store.,E-Commerce,Riyadh,Ar Riyad,http://omniful.com/,�,"$949,956 ",Seed,3,Taqadam,Taqadam,,1,�,"27,526"
Grant - Thya Technology,https://www.crunchbase.com/organization/thya-technology,Thya Technology,Grant,"SAR375,000",10-Mar-22,�,�,No,Thya Technology is an online platform delivering AI-based computer vision as a service.,Artificial Intelligence,Makkah,Makkah,https://www.thya-technology.com/,�,"SAR375,000",�,1,Taqadam,Taqadam,,1,�,"27,538"
Pre Seed Round - Simplified Financial Solutions Company,https://www.crunchbase.com/organization/simplified-financial-solutions-company,Simplified Financial Solutions Company,Pre-Seed,�,4-Feb-22,Seed,�,Yes,Simplified Financial Solutions Company offers startups and SMEs financial management solutions.,Financial Services,Riyadh,Ar Riyad,https://www.sifi.app/,�,�,Seed,1,Khwarizmi Ventures,Breyer Capital,Khwarizmi Ventures,2,1,"27,860"
Series B - MRSOOL,https://www.crunchbase.com/organization/mrsool,MRSOOL,Series B,�,1-Oct-21,Early Stage Venture,�,Yes,MRSOOL connects with people around you who will help you with your tasks.,Apps,Riyadh,Ar Riyad,https://mrsool.co/,�,�,Early Stage Venture,2,,Bossanova Investimentos,Endeavor Catalyst,2,�,"28,163"
Seed Round - CashIn,https://www.crunchbase.com/organization/cashin,CashIn,Seed,"SAR6,000,000",18-Sep-21,Seed,�,Yes,"CashIn is an enablement app that supports smart devices to facilitate merchants by managing their sales, payments and other operations.",Apps,Riyadh,Ar Riyad,https://www.cashin.sa/,�,"SAR6,000,000",Seed,1,Mine,Business Innovation Mine (BIM),Mine,2,�,"28,335"
Seed Round - Bankroll.ai,https://www.crunchbase.com/organization/bankroll-ai,Bankroll.ai,Seed,�,3-Jan-18,Seed,�,Yes,Bankroll.ai is a fintech platform that uses artificial intelligence to help banks make smarter and faster consumer lending decisions.,Artificial Intelligence,Duba,Tabuk,https://bankroll.ai/,�,�,Seed,1,,MetLife Foundation,Village Capital,2,2,"29,242"
Series B - Foodics,https://www.crunchbase.com/organization/foodics,Foodics,Series B,"SAR75,000,000",1-Feb-21,Early Stage Venture,�,Yes,"Foodics is a restaurant management system that manages sales, transactions, inventory, employee schedules, and customer relationships.",Management Information Systems,Riyadh,Ar Riyad,https://www.foodics.com/,�,"$197,996,075 ",Late Stage Venture,5,Sanabil,Bossanova Investimentos,Derayah Venture Capital,6,1,"31,077"
