Organization Name,Organization Name URL,Headquarters Location,Description,CB Rank (Company),Contact Email,Phone Number,Full Description,LinkedIn,Facebook,Twitter,Website,Company Type,Founders,Number of Employees,Headquarters Regions,Industries,Diversity Spotlight (US Only),Number of Articles,Hub Tags,SEMrush - Monthly Visits,SEMrush - Global Traffic Rank,Industry Groups,Estimated Revenue Range,SEMrush - Monthly Visits Growth,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Number of Founders,Founded Date,Founded Date Precision,Operating Status,Investor Type,Investment Stage,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Funding Status,Number of Funding Rounds,Last Funding Date,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,SEMrush - Monthly Rank Growth,SEMrush - Page Views / Visit,Apptopia - Downloads Last 30 Days,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD)
Almoayed Ventures,https://www.crunchbase.com/organization/almoayed-ventures,"Manama, Al Manamah, Bahrain",Almoayed Ventures is the venture investment arm of Almoayed General based in Bahrain.,"74,020",ventures@ag.bh,,Almoayed Ventures is the venture arm of Almoayed General W.L.L. The company focuses on partnering with investment professionals with a track record of supporting and scaling innovative businesses. The company also makes direct investments in passionate entrepreneurs and supports them throughout their journey.,https://www.linkedin.com/company/almoayed-general-wll/,,,http://www.almoayed.bh,,"Moayed Almoayed, Talal Almoayed",,Gulf Cooperation Council (GCC),"Angel Investment, Venture Capital",,,,,,"Financial Services, Lending and Investments",,,22,,2,,,Active,"Family Investment Office, Venture Capital",Early Stage Venture,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uRento,https://www.crunchbase.com/organization/urento,"Manama, Al Manamah, Bahrain",Simplifying Property Management,"86,060",ruby@urento.com,+973 34398848,"uRento is a multi-functional app that helps small to medium-scale landlords manage their properties from a single platform. Be it residential or commercial properties, we want to help the landlords to do business in an efficient and cost-effective manner by embracing digital transformation.  From the most basic need, such as collecting rent, to key operational needs, such as managing timely maintenance, we want landlords to do it all through uRento’s easy-to-use one-stop shop platform.",https://www.linkedin.com/company/urento,https://www.facebook.com/urentobh,,https://urento.com/,For Profit,"Juan David Antolinez, Ruby Mirchandani",1-10,Gulf Cooperation Council (GCC),"Property Management, Software",,,,,,"Real Estate, Software",,,21,,2,2020-07-01,day,Active,,,,,,Seed,2,2020-09-20,42000,USD,42000,42000,USD,42000,Seed,32000,USD,32000,Seed,32000,USD,32000,"Standard Chartered Bank, Flat6Labs",2,2,,,,,,,,,,,,,,,,,,,,,,,,,
OneGCC,https://www.crunchbase.com/organization/onegcc,"Manama, Al Manamah, Bahrain","OneGCC is an employment platform, focused on matching Job Seekers with Job opportunities based on their skills and personalities.","96,612",info@onegcc.com,+973 65000056,"OneGCC is an employment platform, focused on matching Job Seekers with Job Opportunities based on their skills and personalities. They solve the problem of unemployment with a skill matching solution that leverages smart hiring algorithms, social learning and gamified assessments. Primarily supporting the nationalization of jobs across countries in the Gulf Cooperation Council (GCC), OneGCC is the only dedicated talent platform for GCC nationals that simplifies the approach of hiring qualified GCC nationals into the region's workforce.",https://linkedin.com/company/onegcc-com,https://www.facebook.com/JOINonegcc,https://twitter.com/joinonegcc,https://www.onegcc.com,For Profit,Alharith Alatawi,11-50,Gulf Cooperation Council (GCC),"Communities, Employment, Gamification, Human Resources, Recruiting, Software",,,,,,"Administrative Services, Community and Lifestyle, Gaming, Professional Services, Software",Less than $1M,,13,,1,2016-01-01,year,Active,,,,,,Seed,1,2017-04-17,2500000,USD,2500000,2500000,USD,2500000,Seed,2500000,USD,2500000,Seed,2500000,USD,2500000,C5 Accelerate,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
Tamarran,https://www.crunchbase.com/organization/tamarran,"Manama, Al Manamah, Bahrain","Tamarran is a sports marketplace to connect sport venues, fitness classes and recreational activities to the people.","96,694",az@tamarran.com,+973-36021122,"Tamarran is a tech startup company that aims to contribute towards the health and fitness needs of individuals and groups in Bahrain, GCC and the world. This is done through Tamarran's online website and mobile app that help people find and book different kinds of fitness and sport related facilities, activities and events.  Tamarran was born to solve two key problems:  1-	The sport enthusiasts currently go through a lot of hassles to access and book the suitable sport facility, activity or event as they must search, call, compare and book manually. These hassles take hours and sometimes days which make these people unhappy. 2-	On the other hand, Sport centers and different service providers within the sport field – such as gyms, sport academies, facility owners, personal trainers, studios, sport associations and sport event organizers – are struggling to manage their operations as almost everything is handled manually.    Tamarran believes that it has built an effective solution to solve the above-mentioned problems. Nowadays, it is currently focusing on enhancing its cloud-based system for the sport centers while on-boarding more centers on the platform to give the sport enthusiasts a big array of options for their sport needs and requirements. Solution: A) Tamarran App – For the sport enthusiasts: Book gyms, classes, personal trainers, cycling, horse riding, soccer, tennis, squash, basketball courts or water sports and more. Tamarran will soon introduce a feature to help you find partners to play with. B) Tamarran Owner App – For the service providers (Gym, Studio and Facility Owners): Run your sport center in a better way using Tamarran’s cloud-based app especially designed for service providers in the sports field. Via Tamarran Owner, you can manage the membership, class schedules, venue and activity bookings, launch marketing campaigns, manage sport events, attract more sales online and generate real time reports.",https://www.linkedin.com/company/tamarran/,https://www.facebook.com/tamarran.online,https://www.twitter.com/tamarran.online,https://www.tamarran.com,For Profit,"Ali Zayer, Mahdi AlNasheet",1-10,Gulf Cooperation Council (GCC),"Apps, Recreation, SaaS, Sports",,,,"1,108","4,575,058","Apps, Software, Sports",,,22,3,2,2017-10-17,day,Active,,,,,,Seed,2,2019-04-15,97885,USD,97885,97885,USD,97885,Seed,31747,USD,31747,Seed,31747,USD,31747,"Flat6Labs, Rowad",,2,,,,,,,,,,,,,,,,,,1.37,35,,,,,,
Calo,https://www.crunchbase.com/organization/calo,"Manama, Al Manamah, Bahrain",Calo is an app that analyzes your nutritional needs and serves you with delicious meal plans portioned algorithmically to your requirements.,"96,893",hi@calo.app,,Calo is an internet company that provides a web-based platform that utilizes dietary foods and tips from nutritionists and chefs. Its platform connects health-conscious people and nutritionists online. Calo helps people with their diet and food routine online.,https://www.linkedin.com/company/calo-inc/about/,,,https://calo.app/,For Profit,"Ahmed AlRawi, Moayed Almoayed",1-10,Gulf Cooperation Council (GCC),"Food and Beverage, Health Care, Nutrition",,,,"2,378","2,958,862","Food and Beverage, Health Care",,547.96%,31,,2,2019-10-01,month,Active,,,,,,Seed,3,2020-04-05,,,,,,,Seed,,,,Seed,,,,"500 Startups, Almoayed Ventures, Nama Ventures",1,3,,,,,,,,,,,,,,,,,-48.56%,1.17,,,,,,,
Springring,https://www.crunchbase.com/organization/springring,"Manama, Al Manamah, Bahrain","School Communication Management Platform bringing school administrators, teachers, parents and students together onto one Platform.","103,604",info@myspringring.com,0097333640066,"Springring, an EdTech company, offers cloud-based mobile-first School Communication Management Platform that brings school administrators, teachers, parents and students together onto one Platform, making school communication efficient, transparent and effortless for all stakeholders. Through both Web and Mobile applications, it connects not only all the stakeholders but brings in all other EdTech products employed by schools into one unified hub of communication.",https://www.linkedin.com/company/springring,https://business.facebook.com/myspringring/,https://twitter.com/myspringring,http://myspringring.com,For Profit,"Jawad Sadiq, Mohammed Ashoor",1-10,Gulf Cooperation Council (GCC),"EdTech, SaaS",,,,,,"Education, Software",,,44,,2,2018-04-28,day,Active,,,,,,Seed,2,2019-03-02,232000,USD,232000,232000,USD,232000,Seed,32000,USD,32000,Seed,32000,USD,32000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumlaudi,https://www.crunchbase.com/organization/kumlaudi,"Manama, Al Manamah, Bahrain",A mobile app connecting students with academic and extra-curricular instructors at the most hyper-local level.,"105,476",,,"Kumlaudi is an on-demand, location based mobile app, connecting students with academic and extra-curricular instructors at the most hyper-local level. Kumlaudi's aim is to connect students with qualified and verified instructors within one mile radius of their location saving them time and money spent on commute to and from after-school help.",https://www.linkedin.com/company/kumlaudi-edtech,http://www.facebook.com/kumlaudi,http://www.twitter.com/KumlaudiApp,http://www.kumlaudi.com,For Profit,Adeel Abid,1-10,Gulf Cooperation Council (GCC),"EdTech, Education, Peer to Peer, Productivity Tools",,,,,,"Education, Other, Software",,,40,,1,2018-05-01,day,Active,,,,,,Seed,3,2019-08-08,123000,USD,123000,123000,USD,123000,Pre-Seed,53000,USD,53000,Pre-Seed,53000,USD,53000,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
The Stories Studio,https://www.crunchbase.com/organization/the-stories-studio,"Manama, Al Manamah, Bahrain",The Stories Studio is a Bahrain based game development studio.,"115,846",mail@thestoriesstudio.com,973-335-12707,"The Stories Studio is a Bahrain based indie game development studio. They believe that video games are the ultimate art form and want to use this art medium to make a difference. They do this by creating fun and engaging games around important real-world causes, and by contributing back 2.5% portion of their sales back to the cause.",https://www.linkedin.com/company/thestoriesstudio/,https://web.facebook.com/TheStoriesStudio/,https://twitter.com/storiesstudio_,https://www.thestoriesstudio.com/,For Profit,"Saba Saleem, Sajad Hameed",1-10,Gulf Cooperation Council (GCC),"Apps, Gaming, iOS, Mobile, Video Games",,2,,,,"Apps, Gaming, Mobile, Platforms, Software",,,26,,2,2018-02-15,day,Active,,,,,,Seed,2,2019-06-03,70000,USD,70000,70000,USD,70000,Angel,70000,USD,70000,Angel,70000,USD,70000,"Pitch@Palace, Faris Algosaibi",1,2,,,,,,,,,,,,,,,,,,,,,,,,,
Nural,https://www.crunchbase.com/organization/nural,"Manama, Al Manamah, Bahrain","Start here, build everywhere! Create a smarter, more connected digital world, and empower people to do more, all in one place.","116,691",hamad@nural.me,,,,https://www.facebook.com/Nuralme-2033161546923769,https://twitter.com/nuralme,http://www.nural.me,For Profit,Hamad Fuad,1-10,Gulf Cooperation Council (GCC),"Project Management, Software",,,,,,"Administrative Services, Other, Software",Less than $1M,,11,,1,2018-03-01,day,Active,,,,,,Seed,1,2018-04-10,30000,USD,30000,30000,USD,30000,Seed,30000,USD,30000,Seed,30000,USD,30000,Flat6Labs,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
WASCO|LAB,https://www.crunchbase.com/organization/wasco-lab,"Manama, Al Manamah, Bahrain",WASCO provides hardware and software solutions for municipalities and private waste collection companies,"117,538",info@wascolabs.com,+994516820189,,https://www.linkedin.com/company/wascolab,https://www.facebook.com/wascolab,https://twitter.com/wascolab,http://wascolabs.com,For Profit,"Gulnar Absalamova, Orkhan Aslanov",1-10,Gulf Cooperation Council (GCC),"CleanTech, Data Visualization, Internet of Things, Logistics, Software, Waste Management",,,,,,"Data and Analytics, Design, Information Technology, Internet Services, Software, Sustainability, Transportation",,,,,2,2018-01-01,year,Closed,,,,,,Seed,2,2019-11-21,53000,USD,53000,53000,USD,53000,Pre-Seed,53000,USD,53000,Pre-Seed,53000,USD,53000,"BP, Brinc",,2,,,,,,,,,,,,,,,,1,,,,,,,,,
Skiplino,https://www.crunchbase.com/organization/skiplino,"Manama, Al Manamah, Bahrain",Skiplino is a mobile queue management application that offers solutions to improve traffic flow and save people's time.,"119,096",info@skiplino.com,,"Skiplino solves one of the most irritating daily problems which is standing in line, where on average a human wastes 6 months of his/her life standing in queues, Skiplino aims to solve this problem by offering an automated smart mobile solution to better manage traffic/flow and save people a lot of time by letting them get in queue wherever they are.",https://www.linkedin.com/company/10369362?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10369362%2Cidx%3A1-1-1%2CtarId%3A1456582482549%2Ctas%3Askiplino,https://www.facebook.com/skiplino/,https://twitter.com/skiplino,http://skiplino.com,For Profit,"Alharith Alatawi, Ricardo Gaspar, Zaman AH. Zaman",11-50,Gulf Cooperation Council (GCC),"Big Data, Enterprise Software, Mobile",,6,,"8,088","1,453,113","Data and Analytics, Mobile, Software",$1M to $10M,21.62%,69,5,3,2015-08-01,day,Active,,,,,,Early Stage Venture,2,2018-10-10,,,,,,,Series A,,,,Series A,,,,"KISP Ventures, Level Z",1,2,,,,,,,,,,,,,,,,,3.98%,1.96,"15,652",,,,,,
Munfarid Consulting Co.,https://www.crunchbase.com/organization/munfarid-consulting-co,"Manama, Al Manamah, Bahrain",Immersive Learning Delivery Programs,"119,385",info@munfarid.org,+97366656613,A company focused on delivering immersive learning programs,https://www.linkedin.com/in/munfarid-consulting-55b320124/,https://www.facebook.com/munfaridconsult,https://twitter.com/MunfaridConsult,https://www.munfarid.org,For Profit,Dr. Sana Farid,1-10,Gulf Cooperation Council (GCC),"Augmented Reality, Education, Higher Education, Social Impact, STEM Education, Training, Virtual Reality, Wellness",,,,,,"Education, Hardware, Health Care, Other, Science and Engineering, Software",,,36,,1,2016-09-11,day,Active,,,,,,Seed,1,2018-09-10,100000,USD,100000,100000,USD,100000,Seed,100000,USD,100000,Seed,100000,USD,100000,Mr. Khan,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Expocar,https://www.crunchbase.com/organization/expocar,"Manama, Al Manamah, Bahrain",Expocar creates a virtual car dealership with photo-realistic graphics.,"129,072",,79389116006,,https://www.linkedin.com/company/expocartech,,https://twitter.com/ExpocarVR,https://expocar.tech/,For Profit,Magomed Aliev,1-10,Gulf Cooperation Council (GCC),"Automotive, Virtual Reality",,,,,,"Hardware, Software, Transportation",,,8,,1,2020-01-01,year,Active,,,,,,Seed,1,2020-06-09,32000,USD,32000,32000,USD,32000,Pre-Seed,32000,USD,32000,Pre-Seed,32000,USD,32000,Flat6Labs,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
